electricity_load,temperature,hour,day,month,day_of_the_week,holiday
20220.575,-5.33,23,7,1,2,0
18784.825,-5.32,0,8,1,3,0
17725.3,-5.2,1,8,1,3,0
17096.825,-5.13,2,8,1,3,0
16691.875,-4.85,3,8,1,3,0
16763.925,-4.68,4,8,1,3,0
17045.025,-4.43,5,8,1,3,0
17819.55,-4.2,6,8,1,3,0
20514.0,-3.78,7,8,1,3,0
22147.575,-3.26,8,8,1,3,0
22826.1,-2.47,9,8,1,3,0
23163.375,-1.92,10,8,1,3,0
23138.55,-1.34,11,8,1,3,0
23368.625,-1.0,12,8,1,3,0
23303.9,-0.91,13,8,1,3,0
23276.65,-1.03,14,8,1,3,0
23072.325,-1.04,15,8,1,3,0
23200.2,-1.09,16,8,1,3,0
24445.3,-1.09,17,8,1,3,0
24559.15,-0.8,18,8,1,3,0
24210.25,-0.59,19,8,1,3,0
24048.15,-0.38,20,8,1,3,0
23141.2,-0.15,21,8,1,3,0
21517.9,0.08,22,8,1,3,0
19791.175,0.46,23,8,1,3,0
18446.5,0.61,0,9,1,4,0
17618.05,0.9,1,9,1,4,0
17064.65,1.27,2,9,1,4,0
16721.7,1.64,3,9,1,4,0
16678.375,2.12,4,9,1,4,0
16875.8,2.43,5,9,1,4,0
17623.825,2.7,6,9,1,4,0
20394.175,2.84,7,9,1,4,0
21996.35,2.93,8,9,1,4,0
22651.6,3.1,9,9,1,4,0
22907.225,3.12,10,9,1,4,0
22955.675,3.33,11,9,1,4,0
23136.825,3.4,12,9,1,4,0
23248.9,3.55,13,9,1,4,0
23453.625,3.58,14,9,1,4,0
23304.825,3.6,15,9,1,4,0
23280.725,3.68,16,9,1,4,0
24106.025,3.64,17,9,1,4,0
23959.875,3.6,18,9,1,4,0
23611.1,3.65,19,9,1,4,0
23351.725,3.67,20,9,1,4,0
22494.45,3.7,21,9,1,4,0
20795.975,3.71,22,9,1,4,0
19461.225,3.65,23,9,1,4,0
18307.825,3.64,0,10,1,5,0
17109.375,3.63,1,10,1,5,0
16438.15,3.64,2,10,1,5,0
16122.3,3.61,3,10,1,5,0
15987.9,3.67,4,10,1,5,0
15951.9,3.64,5,10,1,5,0
16166.175,3.7,6,10,1,5,0
17264.875,3.7,7,10,1,5,0
18177.35,3.85,8,10,1,5,0
19154.3,4.04,9,10,1,5,0
20254.675,4.23,10,10,1,5,0
20802.375,4.34,11,10,1,5,0
21042.1,4.5,12,10,1,5,0
20970.575,5.0,13,10,1,5,0
20944.825,5.87,14,10,1,5,0
20566.15,6.86,15,10,1,5,0
20447.175,7.64,16,10,1,5,0
21424.55,8.21,17,10,1,5,0
21300.075,8.4,18,10,1,5,0
20709.1,8.24,19,10,1,5,0
20433.525,7.94,20,10,1,5,0
19796.875,7.37,21,10,1,5,0
18466.075,6.96,22,10,1,5,0
17453.475,6.32,23,10,1,5,0
16345.75,5.62,0,11,1,6,0
15314.525,4.79,1,11,1,6,0
14609.4,3.94,2,11,1,6,0
14299.225,3.24,3,11,1,6,0
14179.85,2.7,4,11,1,6,0
14214.15,2.4,5,11,1,6,0
14324.275,2.2,6,11,1,6,0
14840.6,2.38,7,11,1,6,0
15034.2,2.58,8,11,1,6,0
15693.925,2.76,9,11,1,6,0
16765.9,2.96,10,11,1,6,0
17396.2,3.17,11,11,1,6,0
17880.6,3.2,12,11,1,6,0
18036.725,3.08,13,11,1,6,0
18296.55,2.88,14,11,1,6,0
18138.425,2.73,15,11,1,6,0
18034.2,2.48,16,11,1,6,0
19390.225,2.3,17,11,1,6,0
19787.5,2.2,18,11,1,6,0
19818.125,2.09,19,11,1,6,0
19846.775,2.0,20,11,1,6,0
19064.275,1.9,21,11,1,6,0
18117.475,1.8,22,11,1,6,0
17297.2,1.72,23,11,1,6,0
16155.175,1.66,0,12,1,0,0
15221.075,1.61,1,12,1,0,0
14720.175,1.56,2,12,1,0,0
14576.7,1.49,3,12,1,0,0
14681.625,1.52,4,12,1,0,0
15076.775,1.49,5,12,1,0,0
16274.075,1.5,6,12,1,0,0
19562.55,1.72,7,12,1,0,0
21536.25,2.23,8,12,1,0,0
22428.9,2.75,9,12,1,0,0
22785.85,3.27,10,12,1,0,0
22930.875,3.71,11,12,1,0,0
23036.5,3.9,12,12,1,0,0
23225.925,3.92,13,12,1,0,0
23273.775,3.98,14,12,1,0,0
23052.225,3.97,15,12,1,0,0
23136.6,4.03,16,12,1,0,0
24102.85,4.07,17,12,1,0,0
24189.7,4.1,18,12,1,0,0
23864.075,4.21,19,12,1,0,0
23689.1,4.21,20,12,1,0,0
22875.175,4.22,21,12,1,0,0
21300.675,4.3,22,12,1,0,0
19659.275,4.31,23,12,1,0,0
18269.475,4.32,0,13,1,1,0
17135.15,4.32,1,13,1,1,0
16607.425,4.41,2,13,1,1,0
16256.4,4.42,3,13,1,1,0
16202.55,4.41,4,13,1,1,0
16499.925,4.4,5,13,1,1,0
17465.375,4.5,6,13,1,1,0
20165.575,4.89,7,13,1,1,0
21816.15,5.48,8,13,1,1,0
22308.925,6.36,9,13,1,1,0
22451.25,6.79,10,13,1,1,0
22427.925,7.27,11,13,1,1,0
22613.2,7.5,12,13,1,1,0
22524.425,7.62,13,13,1,1,0
22491.75,7.52,14,13,1,1,0
22183.85,7.37,15,13,1,1,0
22072.075,7.01,16,13,1,1,0
23491.775,6.81,17,13,1,1,0
23899.3,6.7,18,13,1,1,0
23709.975,6.66,19,13,1,1,0
23596.625,6.45,20,13,1,1,0
22798.05,6.18,21,13,1,1,0
21092.475,6.01,22,13,1,1,0
19570.025,5.52,23,13,1,1,0
18166.825,5.2,0,14,1,2,0
17018.35,4.99,1,14,1,2,0
16424.675,4.91,2,14,1,2,0
16109.55,4.7,3,14,1,2,0
16205.075,4.56,4,14,1,2,0
16461.7,4.56,5,14,1,2,0
17284.875,4.6,6,14,1,2,0
20183.65,4.8,7,14,1,2,0
21698.95,5.14,8,14,1,2,0
22303.0,5.73,9,14,1,2,0
22589.4,6.35,10,14,1,2,0
22401.25,6.88,11,14,1,2,0
22627.525,7.0,12,14,1,2,0
22791.675,6.7,13,14,1,2,0
22650.1,6.21,14,14,1,2,0
22348.3,5.69,15,14,1,2,0
22341.525,4.97,16,14,1,2,0
23645.975,4.51,17,14,1,2,0
23904.325,4.0,18,14,1,2,0
23773.875,3.66,19,14,1,2,0
23654.3,3.23,20,14,1,2,0
22852.2,2.85,21,14,1,2,0
21082.975,2.58,22,14,1,2,0
19414.8,2.27,23,14,1,2,0
18146.1,1.96,0,15,1,3,0
16958.65,1.63,1,15,1,3,0
16389.9,1.32,2,15,1,3,0
16071.3,1.16,3,15,1,3,0
16118.075,0.98,4,15,1,3,0
16359.0,0.93,5,15,1,3,0
17197.0,0.9,6,15,1,3,0
20086.0,1.12,7,15,1,3,0
21640.375,1.57,8,15,1,3,0
22286.3,2.29,9,15,1,3,0
22469.425,3.06,10,15,1,3,0
22399.35,3.62,11,15,1,3,0
22609.25,3.8,12,15,1,3,0
22553.55,3.69,13,15,1,3,0
22611.925,3.37,14,15,1,3,0
22438.925,3.0,15,15,1,3,0
22428.575,2.54,16,15,1,3,0
23905.975,2.22,17,15,1,3,0
24122.725,2.1,18,15,1,3,0
23763.6,2.02,19,15,1,3,0
23565.4,1.94,20,15,1,3,0
22918.4,1.97,21,15,1,3,0
21337.25,1.88,22,15,1,3,0
19627.475,1.96,23,15,1,3,0
18202.15,2.15,0,16,1,4,0
17132.4,2.13,1,16,1,4,0
16488.125,2.32,2,16,1,4,0
16148.125,2.43,3,16,1,4,0
16227.625,2.65,4,16,1,4,0
16450.3,2.9,5,16,1,4,0
17189.875,3.1,6,16,1,4,0
20115.475,3.61,7,16,1,4,0
21593.925,4.58,8,16,1,4,0
22075.6,5.73,9,16,1,4,0
22296.625,6.98,10,16,1,4,0
22128.125,7.76,11,16,1,4,0
22274.225,8.0,12,16,1,4,0
22220.725,7.79,13,16,1,4,0
22280.775,7.25,14,16,1,4,0
22072.6,6.49,15,16,1,4,0
22024.95,5.68,16,16,1,4,0
23489.075,5.0,17,16,1,4,0
23731.875,4.6,18,16,1,4,0
23342.725,4.42,19,16,1,4,0
23060.525,4.35,20,16,1,4,0
22245.925,4.27,21,16,1,4,0
20599.975,4.2,22,16,1,4,0
19102.85,3.94,23,16,1,4,0
17946.05,3.88,0,17,1,5,0
16848.0,3.85,1,17,1,5,0
16069.75,3.75,2,17,1,5,0
15782.0,3.69,3,17,1,5,0
15709.95,3.6,4,17,1,5,0
15727.9,3.59,5,17,1,5,0
15978.8,3.7,6,17,1,5,0
17024.475,3.77,7,17,1,5,0
17859.7,4.23,8,17,1,5,0
19070.2,5.45,9,17,1,5,0
19944.15,6.49,10,17,1,5,0
20318.125,7.05,11,17,1,5,0
20499.425,7.3,12,17,1,5,0
20384.4,7.05,13,17,1,5,0
20417.525,6.4,14,17,1,5,0
20049.3,5.81,15,17,1,5,0
